featureid	UNKNOWN	k__Archaea|p__Euryarchaeota	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Candidatus_Melainabacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Lentisphaerae	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__Verrucomicrobia	k__Eukaryota|p__Ascomycota	k__Eukaryota|p__Eukaryota_unclassified
palmitate	3.6078772636941063	3.0715273562889704	3.587366339324018	3.7026474314675193	3.4897116686986154	3.6859227649231747	3.400527289077899	2.7619761442929405	3.545454663521152	2.908145904658351	3.6683718666691973	3.7622684187739757	2.8562374524523	2.9859509457036757
palmithoylethanolamide	-0.7420552261302844	-0.7398664349163422	-0.8565844216249615	-0.6636405666332494	-0.7066855513558226	-0.7169042907301916	-0.6169916728183815	-0.47060743596956844	-0.8768139011387261	-0.572375510487912	-0.7885684065414766	-0.6792141010302211	-0.31310980518681	0.04064277438591851
palmitoleate	2.0937700421784515	0.649810214424801	1.9325560935090198	2.2190893740892053	1.678972234745423	2.1815181745642156	1.4111578261470388	-0.2095031745968778	1.8228241575016022	0.23210571782270684	2.2152476004136252	2.3666963758354185	0.2805465776566938	0.209065429528342
palmitoylethanolamide	-1.994847373081964	-0.9166381753235662	-2.070664486395139	-2.0998803446518197	-1.728653429164492	-2.122031767324533	-1.4506448850126967	0.004367429633785912	-2.005894838001049	-0.4036754600203434	-2.1781816539054324	-2.2424652904006934	-0.00673717110868699	0.07433175966267441
pantothenate	4.086764953015489	1.1897583514176056	3.122490743679898	3.5498231753960576	2.6188035444477196	3.520951033280054	1.9350768005556584	-0.6076145382469036	2.9306076757764954	0.5359340537299424	4.010588090407726	3.7339684816440495	1.8991825779881588	-0.9862542497661502
pentadecanoate	3.7411328776744184	2.192750777356422	4.1770047279979	4.4592671569875995	3.7893531546435018	4.421112895416967	3.5541186309497173	1.1284358529618486	4.051471299740778	1.4684784946837723	4.168091406966671	4.720915067716212	0.2913157254527352	2.187530882649797
pentose monophosphate	0.10446626368963008	-0.5584123281149367	-0.27013757023686913	-0.4351963334140383	-0.5497384344968745	-0.36673976825983756	-0.8553065554835853	-1.2568241751744764	-0.2787093930747234	-0.7895693063901277	-0.017974943437467417	-0.43304054439022766	-0.17601785387039426	-2.4137258826066863
phenylacetate	-1.2213868750365653	-2.239274925998636	-1.414612448752109	-0.9427997811287867	-1.3919501062868465	-1.044385190244077	-1.450299592512635	-2.496385213782148	-1.522943283538885	-2.3417635266084957	-1.1526147967234888	-0.842340724611804	-2.1234076318449175	-1.38428246078796
phenylacetylglutamine	-0.9769998631899601	-1.7415981986594637	-1.7436597080631848	-1.738959567828288	-1.873766922457306	-1.7120942938452992	-2.162374439183762	-2.247862417635734	-1.7713805273663144	-1.7525127462247063	-1.2634659119971658	-1.7851140617242138	-0.3586741914954579	-3.303701268376843
phenylalanine	5.949938988080042	6.097621789976586	7.82832654838203	7.124830894876779	7.072147331176617	7.303081558440666	6.955567613175177	5.02731043092023	7.889198242434673	4.956753489834352	6.781049273602374	7.3964414127913996	1.1670753524546993	4.820422775983087
phenyllactate	1.4742128013255456	0.07129372439945314	1.9217023289483584	2.124178506276346	1.5239351687699783	2.1041470596222536	1.2893573490060783	-0.9671645087047291	1.813572558507186	-0.6378021420497078	1.8813112341305622	2.367701244238799	-1.8128626484837498	-0.12836908607062952
phytanate	-1.9187725564223652	-1.218412432055242	-1.8815657297532102	-1.3995349769053835	-1.3222719113107821	-1.5552550277706598	-0.8750001001861671	-0.017587131241344457	-1.9013710337590362	-0.6305116930280317	-1.9528657582785902	-1.458035370181824	-0.5052100543000839	1.8138617741334193
phytosphingosine	5.41543126282879	2.8997604626562117	4.752011339305439	5.065416964874733	4.245148647297619	5.055150310183863	3.64075926062585	1.237567926960945	4.589409953834936	2.2246665528197305	5.428342146755039	5.252218273542746	3.055714459269359	0.9110503485176742
pipecolic acid	0.4804797704302568	0.0855686261714883	0.19111087845301555	0.8383518362823892	0.5584004804256955	0.6703686032330521	0.7521566741698862	0.6007858191778574	0.09727046974992859	0.4099270804512827	0.4393805440786043	0.8575061009334859	0.9691084477316232	2.348455161792328
piperine	2.518354161962161	1.614489565600616	2.5428682076402467	2.8112295345311393	2.424564256374614	2.761737626618167	2.3168131943463663	1.1664454650121752	2.461538428795016	1.3527555913749278	2.6611053856354507	2.9273712040237974	1.1421522292137127	1.8680964689436244
porphobilinogen	1.8825719930075184	0.6697488832866814	1.660288503310862	1.611927717353211	1.256873636668895	1.6622181968000018	0.8750312784638479	-0.3894130214617668	1.604832714866693	0.1899194106212998	1.914710789962582	1.70856745174716	0.3866457399598935	-1.1139542705640877
proline	2.0255267301783415	1.7205617939978195	1.911725611836187	1.835564591569576	1.7706037809932598	1.866679195688286	1.6374942433184543	1.393391030830901	1.907300600154357	1.5920014303515408	1.9938122383288146	1.8445802985139692	1.7638572208330516	0.9217505824036301
