	feature_id	axis	embed_type	values
185	C50:3 TAG	0	metabolite	2.025261163711548
186	C50:4 TAG	0	metabolite	1.8512812852859497
187	C50:5 TAG	0	metabolite	2.197719097137451
188	C51:0 TAG	0	metabolite	1.890305995941162
189	C51:1 TAG	0	metabolite	1.1840507984161377
190	C51:2 TAG	0	metabolite	2.7410781383514404
191	C51:3 TAG	0	metabolite	1.9473625421524048
192	C52:0 TAG	0	metabolite	1.1786136627197266
193	C52:1 TAG	0	metabolite	0.5282851457595825
194	C52:2 TAG	0	metabolite	-0.9782892465591431
195	C52:3 TAG	0	metabolite	0.7667754888534546
196	C52:4 TAG	0	metabolite	0.5226860642433167
197	C52:5 TAG	0	metabolite	-0.01510130986571312
198	C52:6 TAG	0	metabolite	0.4478415846824646
199	C52:7 TAG	0	metabolite	2.136037588119507
200	C53:3 TAG	0	metabolite	2.46211838722229
201	C54:1 TAG	0	metabolite	2.0373339653015137
202	C54:2 TAG	0	metabolite	0.5105423927307129
203	C54:3 TAG	0	metabolite	-0.9641832113265991
204	C54:4 TAG	0	metabolite	0.6789777278900146
205	C54:5 TAG	0	metabolite	0.07302787899971008
206	C54:6 TAG	0	metabolite	0.887829601764679
207	C55:2 TAG	0	metabolite	2.594392776489258
208	C55:3 TAG	0	metabolite	3.4770009517669678
209	C56:1 TAG	0	metabolite	1.383536696434021
210	C56:2 TAG	0	metabolite	1.2570922374725342
211	C56:3 TAG	0	metabolite	1.1280218362808228
212	C56:4 TAG	0	metabolite	1.0159010887145996
213	C56:6 TAG	0	metabolite	1.6585949659347534
214	C56:7 TAG	0	metabolite	2.319300413131714
215	C58:10 TAG	0	metabolite	3.1547656059265137
216	C8 carnitine	0	metabolite	1.978183388710022
217	C9 carnitine	0	metabolite	1.2616474628448486
218	N-acetyalanine	0	metabolite	1.6602810621261597
219	N-acetylaspartic acid	0	metabolite	3.527193069458008
220	N-acetylglutamate	0	metabolite	1.9876478910446167
221	N-acetylglutamine	0	metabolite	-0.22271883487701416
222	N-acetylhistamine	0	metabolite	-2.2243428230285645
223	N-acetylhistidine	0	metabolite	1.4213132858276367
224	N-acetylornithine	0	metabolite	2.4467694759368896
225	N-acetylputrescine	0	metabolite	0.49520084261894226
226	N-alpha-acetylarginine	0	metabolite	0.2669721245765686
227	N-carbamoyl-beta-alanine	0	metabolite	2.136488437652588
228	N-methylproline	0	metabolite	0.030834471806883812
229	N1,N12-diacetylspermine	0	metabolite	-2.178969144821167
230	N1-acetylspermidine	0	metabolite	0.7199816107749939
231	N1-acetylspermine	0	metabolite	1.4812238216400146
232	N1-methyl-2-pyridone-5-carboxamide	0	metabolite	1.2334314584732056
233	N2,N2-dimethylguanosine	0	metabolite	2.136213779449463
234	N6,N6,N6-trimethyllysine	0	metabolite	0.10298280417919159
235	N6,N6-dimethyllysine	0	metabolite	0.6811630725860596
236	N6-acetyllysine	0	metabolite	-0.32438668608665466
237	NH4_C16:0 CE	0	metabolite	2.191805362701416
238	NH4_C16:1 CE	0	metabolite	2.1887307167053223
239	NH4_C16:1 MAG	0	metabolite	2.823343515396118
240	NH4_C18:0 CE	0	metabolite	1.314993143081665
241	NH4_C18:0 MAG	0	metabolite	0.5687993168830872
242	NH4_C18:1 CE	0	metabolite	1.7810646295547485
243	NH4_C18:2 CE	0	metabolite	0.5280866622924805
244	NH4_C18:3 CE	0	metabolite	0.9264503121376038
245	NH4_C20:3 CE	0	metabolite	2.3978304862976074
246	NH4_C20:4 CE	0	metabolite	0.5848512649536133
247	NH4_C20:5 CE	0	metabolite	2.1743907928466797
248	NH4_C22:1 MAG	0	metabolite	3.0626561641693115
249	NH4_C22:4 CE	0	metabolite	1.726790428161621
